Policy_Number,Policy_Type,Coverage,Exclusions,Duration,Premium,Renewal_Option
POL576S,Travel,Covers accidental damage and theft,Dental and cosmetic procedures excluded,5 Years,"₹8,000",Offline Renewal Only
POL645I,Travel,Covers accidental damage and theft,Claims under alcohol influence excluded,3 Years,"₹25,000",Online Renewal Available
POL116Y,Health,Covers accidental damage and theft,Claims under alcohol influence excluded,20 Years,"₹8,000",Online Renewal Available
POL799I,Property,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,Annual,"₹18,000",Online Renewal Available
POL546G,Life,"Covers fire, flood, and natural disasters",Suicide not covered for first year,3 Years,"₹15,000",Offline Renewal Only
POL351X,Travel,Covers personal accident injuries and liabilities,War-related damages excluded,Annual,"₹18,000",Online Renewal Available
POL224S,Travel,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,5 Years,"₹20,000",Online Renewal Available
POL381T,Health,Covers accidental damage and theft,Claims under alcohol influence excluded,5 Years,"₹25,000",Offline Renewal Only
POL489M,Property,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,20 Years,"₹15,000",Online Renewal Available
POL456N,Motor,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,20 Years,"₹30,000",Online Renewal Available
POL292A,Accident,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,20 Years,"₹15,000",Offline Renewal Only
POL922F,Health,Covers accidental damage and theft,Dental and cosmetic procedures excluded,3 Years,"₹10,000",Online Renewal Available
POL209W,Property,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,3 Years,"₹10,000",Online Renewal Available
POL847I,Travel,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,5 Years,"₹20,000",Offline Renewal Only
POL815K,Accident,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,3 Years,"₹12,000",Online Renewal Available
POL929I,Motor,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,3 Years,"₹30,000",Offline Renewal Only
POL412E,Travel,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,5 Years,"₹10,000",Online Renewal Available
POL450M,Life,Covers personal accident injuries and liabilities,War-related damages excluded,10 Years,"₹15,000",Offline Renewal Only
POL224O,Motor,Covers death due to natural or accidental causes,War-related damages excluded,5 Years,"₹8,000",Online Renewal Available
POL635L,Life,Covers personal accident injuries and liabilities,Suicide not covered for first year,10 Years,"₹10,000",Offline Renewal Only
POL913B,Health,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,3 Years,"₹10,000",Online Renewal Available
POL130C,Motor,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹15,000",Offline Renewal Only
POL301C,Life,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,20 Years,"₹20,000",Offline Renewal Only
POL334K,Health,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,10 Years,"₹12,000",Offline Renewal Only
POL203S,Health,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,Annual,"₹25,000",Offline Renewal Only
POL476S,Motor,Covers death due to natural or accidental causes,Suicide not covered for first year,3 Years,"₹10,000",Online Renewal Available
POL823I,Travel,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,5 Years,"₹30,000",Online Renewal Available
POL651P,Travel,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,Annual,"₹12,000",Online Renewal Available
POL995H,Accident,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,Annual,"₹30,000",Online Renewal Available
POL512O,Health,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,5 Years,"₹15,000",Online Renewal Available
POL493M,Motor,Covers accidental damage and theft,Dental and cosmetic procedures excluded,Annual,"₹18,000",Offline Renewal Only
POL438A,Accident,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,5 Years,"₹20,000",Online Renewal Available
POL863B,Motor,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,20 Years,"₹10,000",Offline Renewal Only
POL799N,Accident,Covers personal accident injuries and liabilities,Suicide not covered for first year,10 Years,"₹15,000",Online Renewal Available
POL550T,Travel,Covers personal accident injuries and liabilities,War-related damages excluded,3 Years,"₹18,000",Offline Renewal Only
POL845Q,Health,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,10 Years,"₹12,000",Offline Renewal Only
POL181K,Life,Covers emergency medical expenses abroad,Adventure sports injuries excluded,3 Years,"₹30,000",Online Renewal Available
POL773X,Health,Covers accidental damage and theft,Dental and cosmetic procedures excluded,20 Years,"₹20,000",Online Renewal Available
POL565D,Life,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,20 Years,"₹8,000",Online Renewal Available
POL748R,Property,"Covers fire, flood, and natural disasters",War-related damages excluded,Annual,"₹10,000",Offline Renewal Only
POL595U,Life,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,10 Years,"₹8,000",Offline Renewal Only
POL799V,Property,Covers personal accident injuries and liabilities,War-related damages excluded,5 Years,"₹18,000",Online Renewal Available
POL515H,Property,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,20 Years,"₹20,000",Online Renewal Available
POL753U,Travel,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,Annual,"₹12,000",Offline Renewal Only
POL813R,Motor,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,5 Years,"₹10,000",Online Renewal Available
POL379K,Health,Covers death due to natural or accidental causes,Suicide not covered for first year,5 Years,"₹18,000",Offline Renewal Only
POL432B,Health,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,3 Years,"₹8,000",Online Renewal Available
POL687V,Life,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,10 Years,"₹30,000",Online Renewal Available
POL351S,Accident,Covers death due to natural or accidental causes,War-related damages excluded,10 Years,"₹10,000",Offline Renewal Only
POL129S,Travel,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,3 Years,"₹15,000",Offline Renewal Only
POL983S,Health,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,10 Years,"₹25,000",Online Renewal Available
POL927L,Property,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,5 Years,"₹25,000",Online Renewal Available
POL490L,Health,Covers accidental damage and theft,Suicide not covered for first year,10 Years,"₹15,000",Online Renewal Available
POL439V,Health,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹30,000",Online Renewal Available
POL604B,Motor,Covers personal accident injuries and liabilities,Suicide not covered for first year,5 Years,"₹15,000",Online Renewal Available
POL737L,Motor,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,3 Years,"₹30,000",Online Renewal Available
POL734S,Life,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹12,000",Online Renewal Available
POL745L,Travel,Covers emergency medical expenses abroad,War-related damages excluded,5 Years,"₹10,000",Online Renewal Available
POL698N,Property,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,Annual,"₹30,000",Online Renewal Available
POL776Q,Accident,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,20 Years,"₹10,000",Offline Renewal Only
POL385B,Accident,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,10 Years,"₹25,000",Offline Renewal Only
POL802Z,Motor,Covers personal accident injuries and liabilities,War-related damages excluded,3 Years,"₹30,000",Online Renewal Available
POL208I,Life,Covers death due to natural or accidental causes,Suicide not covered for first year,3 Years,"₹30,000",Offline Renewal Only
POL446R,Property,Covers emergency medical expenses abroad,War-related damages excluded,Annual,"₹8,000",Online Renewal Available
POL587I,Health,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,10 Years,"₹25,000",Online Renewal Available
POL182A,Health,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,3 Years,"₹15,000",Offline Renewal Only
POL918C,Travel,Covers death due to natural or accidental causes,Suicide not covered for first year,20 Years,"₹20,000",Offline Renewal Only
POL366K,Health,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,3 Years,"₹25,000",Online Renewal Available
POL358S,Life,Covers accidental damage and theft,Dental and cosmetic procedures excluded,20 Years,"₹10,000",Offline Renewal Only
POL761I,Travel,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,3 Years,"₹10,000",Offline Renewal Only
POL857X,Health,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,5 Years,"₹12,000",Online Renewal Available
POL740J,Motor,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,Annual,"₹12,000",Online Renewal Available
POL169E,Health,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,3 Years,"₹8,000",Offline Renewal Only
POL178X,Life,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,20 Years,"₹15,000",Offline Renewal Only
POL615Z,Life,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,Annual,"₹12,000",Offline Renewal Only
POL699G,Travel,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,3 Years,"₹10,000",Online Renewal Available
POL571E,Life,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹12,000",Offline Renewal Only
POL297C,Motor,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,10 Years,"₹8,000",Offline Renewal Only
POL692V,Accident,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,10 Years,"₹18,000",Offline Renewal Only
POL866F,Motor,Covers accidental damage and theft,Claims under alcohol influence excluded,3 Years,"₹15,000",Offline Renewal Only
POL364E,Accident,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,3 Years,"₹30,000",Online Renewal Available
POL951J,Life,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,Annual,"₹15,000",Online Renewal Available
POL247W,Accident,Covers accidental damage and theft,War-related damages excluded,Annual,"₹30,000",Online Renewal Available
POL664L,Travel,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,3 Years,"₹8,000",Offline Renewal Only
POL283Q,Property,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,Annual,"₹8,000",Offline Renewal Only
POL872K,Health,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,3 Years,"₹30,000",Offline Renewal Only
POL528K,Travel,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,Annual,"₹15,000",Offline Renewal Only
POL396K,Life,Covers emergency medical expenses abroad,War-related damages excluded,10 Years,"₹8,000",Online Renewal Available
POL444W,Property,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,3 Years,"₹8,000",Online Renewal Available
POL929B,Travel,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,10 Years,"₹15,000",Offline Renewal Only
POL132J,Accident,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,3 Years,"₹10,000",Online Renewal Available
POL705O,Accident,Covers accidental damage and theft,Dental and cosmetic procedures excluded,Annual,"₹15,000",Offline Renewal Only
POL650C,Property,Covers personal accident injuries and liabilities,Suicide not covered for first year,20 Years,"₹10,000",Online Renewal Available
POL503M,Health,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,Annual,"₹25,000",Online Renewal Available
POL867Z,Health,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,10 Years,"₹30,000",Offline Renewal Only
POL796K,Health,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,20 Years,"₹25,000",Online Renewal Available
POL126Y,Travel,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,10 Years,"₹15,000",Online Renewal Available
POL784K,Health,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,3 Years,"₹20,000",Offline Renewal Only
POL416T,Accident,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,5 Years,"₹15,000",Offline Renewal Only
POL606O,Accident,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹10,000",Online Renewal Available
POL962G,Property,Covers accidental damage and theft,Dental and cosmetic procedures excluded,10 Years,"₹12,000",Offline Renewal Only
POL114G,Travel,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,20 Years,"₹30,000",Offline Renewal Only
POL599K,Motor,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,20 Years,"₹12,000",Offline Renewal Only
POL394W,Travel,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,Annual,"₹8,000",Offline Renewal Only
POL373H,Travel,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,3 Years,"₹15,000",Offline Renewal Only
POL215H,Travel,Covers personal accident injuries and liabilities,Suicide not covered for first year,10 Years,"₹8,000",Offline Renewal Only
POL259M,Motor,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,3 Years,"₹30,000",Offline Renewal Only
POL354D,Accident,Covers emergency medical expenses abroad,Adventure sports injuries excluded,20 Years,"₹18,000",Online Renewal Available
POL194Z,Accident,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,3 Years,"₹18,000",Online Renewal Available
POL813L,Motor,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,3 Years,"₹10,000",Online Renewal Available
POL676C,Travel,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,5 Years,"₹18,000",Offline Renewal Only
POL569F,Accident,Covers personal accident injuries and liabilities,War-related damages excluded,3 Years,"₹15,000",Offline Renewal Only
POL140C,Accident,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,20 Years,"₹12,000",Online Renewal Available
POL571F,Travel,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,Annual,"₹25,000",Online Renewal Available
POL390Y,Travel,Covers death due to natural or accidental causes,Suicide not covered for first year,20 Years,"₹25,000",Online Renewal Available
POL716U,Motor,Covers accidental damage and theft,Dental and cosmetic procedures excluded,20 Years,"₹15,000",Online Renewal Available
POL236K,Travel,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,20 Years,"₹25,000",Offline Renewal Only
POL122U,Life,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,10 Years,"₹15,000",Offline Renewal Only
POL264G,Life,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,Annual,"₹20,000",Online Renewal Available
POL897G,Travel,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,Annual,"₹30,000",Online Renewal Available
POL641B,Accident,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,Annual,"₹25,000",Online Renewal Available
POL654R,Life,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,10 Years,"₹12,000",Offline Renewal Only
POL717Q,Health,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,Annual,"₹18,000",Online Renewal Available
POL479Z,Motor,Covers death due to natural or accidental causes,War-related damages excluded,20 Years,"₹25,000",Offline Renewal Only
POL510U,Motor,Covers accidental damage and theft,Claims under alcohol influence excluded,5 Years,"₹12,000",Online Renewal Available
POL712A,Travel,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,Annual,"₹12,000",Offline Renewal Only
POL651L,Accident,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,20 Years,"₹18,000",Offline Renewal Only
POL570I,Motor,Covers emergency medical expenses abroad,War-related damages excluded,20 Years,"₹12,000",Offline Renewal Only
POL769V,Travel,"Covers fire, flood, and natural disasters",War-related damages excluded,20 Years,"₹12,000",Offline Renewal Only
POL539G,Health,Covers death due to natural or accidental causes,War-related damages excluded,20 Years,"₹8,000",Online Renewal Available
POL170Z,Health,Covers accidental damage and theft,Suicide not covered for first year,20 Years,"₹10,000",Offline Renewal Only
POL469E,Accident,Covers death due to natural or accidental causes,Suicide not covered for first year,5 Years,"₹12,000",Online Renewal Available
POL772O,Life,Covers death due to natural or accidental causes,Suicide not covered for first year,3 Years,"₹12,000",Online Renewal Available
POL583E,Life,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,10 Years,"₹25,000",Offline Renewal Only
POL154W,Travel,Covers accidental damage and theft,Adventure sports injuries excluded,3 Years,"₹12,000",Offline Renewal Only
POL202W,Property,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,10 Years,"₹8,000",Online Renewal Available
POL851Z,Life,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,Annual,"₹12,000",Offline Renewal Only
POL690E,Health,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,20 Years,"₹20,000",Online Renewal Available
POL884T,Life,Covers emergency medical expenses abroad,War-related damages excluded,Annual,"₹10,000",Online Renewal Available
POL323H,Motor,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,Annual,"₹20,000",Offline Renewal Only
POL165J,Motor,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹18,000",Online Renewal Available
POL996E,Life,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,Annual,"₹20,000",Online Renewal Available
POL993N,Property,Covers emergency medical expenses abroad,Suicide not covered for first year,10 Years,"₹18,000",Online Renewal Available
POL933A,Motor,Covers personal accident injuries and liabilities,Suicide not covered for first year,3 Years,"₹25,000",Offline Renewal Only
POL183S,Health,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,3 Years,"₹10,000",Online Renewal Available
POL235V,Life,Covers death due to natural or accidental causes,Suicide not covered for first year,10 Years,"₹12,000",Online Renewal Available
POL889D,Property,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,3 Years,"₹12,000",Offline Renewal Only
POL155S,Health,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,3 Years,"₹30,000",Offline Renewal Only
POL161S,Health,Covers death due to natural or accidental causes,Adventure sports injuries excluded,Annual,"₹25,000",Online Renewal Available
POL512X,Property,Covers emergency medical expenses abroad,Suicide not covered for first year,20 Years,"₹10,000",Online Renewal Available
POL946X,Property,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,5 Years,"₹20,000",Offline Renewal Only
POL648Q,Life,"Covers fire, flood, and natural disasters",War-related damages excluded,5 Years,"₹30,000",Offline Renewal Only
POL608V,Accident,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,3 Years,"₹20,000",Offline Renewal Only
POL264E,Health,Covers accidental damage and theft,Suicide not covered for first year,5 Years,"₹18,000",Online Renewal Available
POL340F,Travel,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,3 Years,"₹8,000",Online Renewal Available
POL530P,Property,Covers death due to natural or accidental causes,Suicide not covered for first year,5 Years,"₹18,000",Offline Renewal Only
POL459H,Property,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,3 Years,"₹18,000",Online Renewal Available
POL241L,Health,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,5 Years,"₹30,000",Online Renewal Available
POL964K,Travel,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,10 Years,"₹20,000",Online Renewal Available
POL446T,Motor,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,20 Years,"₹8,000",Offline Renewal Only
POL886Y,Health,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹30,000",Online Renewal Available
POL472A,Travel,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,5 Years,"₹25,000",Online Renewal Available
POL975O,Health,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,20 Years,"₹25,000",Offline Renewal Only
POL921I,Accident,Covers emergency medical expenses abroad,Adventure sports injuries excluded,20 Years,"₹18,000",Online Renewal Available
POL937M,Health,Covers emergency medical expenses abroad,War-related damages excluded,5 Years,"₹18,000",Online Renewal Available
POL374C,Motor,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,20 Years,"₹25,000",Offline Renewal Only
POL259N,Motor,Covers personal accident injuries and liabilities,War-related damages excluded,5 Years,"₹8,000",Offline Renewal Only
POL216M,Property,Covers accidental damage and theft,War-related damages excluded,5 Years,"₹20,000",Offline Renewal Only
POL657Z,Travel,Covers death due to natural or accidental causes,Adventure sports injuries excluded,20 Years,"₹8,000",Online Renewal Available
POL467G,Health,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,10 Years,"₹25,000",Offline Renewal Only
POL720B,Motor,Covers personal accident injuries and liabilities,Suicide not covered for first year,3 Years,"₹18,000",Online Renewal Available
POL971J,Property,Covers emergency medical expenses abroad,Adventure sports injuries excluded,5 Years,"₹30,000",Offline Renewal Only
POL660P,Travel,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹12,000",Offline Renewal Only
POL693D,Property,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,10 Years,"₹10,000",Online Renewal Available
POL372R,Property,Covers death due to natural or accidental causes,War-related damages excluded,10 Years,"₹30,000",Online Renewal Available
